Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
"Former Stephenson's
Dye Works",Ambergate,Derbyshire,Great Britain,"Former Stephenson's
Dye Works, Ambergate, Derbyshire, Great Britain",Development - Not Commenced,,,Grant Thornton UK LLP,www.grant-thornton.co.uk
Caveland Farm,South Molton,Devon EX36 4JB,Great Britain,"Caveland Farm, South Molton, Devon EX36 4JB, Great Britain",Development - Commenced,,,Irvine Nott LLP,www.irvinenott.co.uk
Longbrook Street,Exeter,Devon EX4 6AE,Great Britain,"Longbrook Street, Exeter, Devon EX4 6AE, Great Britain",Development - Not Commenced,,,Irvine Nott LLP,www.irvinenott.co.uk
Fore Street,Chudleigh,Devon TQ13 0HT,Great Britain,"Fore Street, Chudleigh, Devon TQ13 0HT, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Briars Lane,Stainforth,Doncaster,Great Britain,"Briars Lane, Stainforth, Doncaster, Great Britain",Development - not commenced,,,GVA,www.gva.co.uk
Arcadia Centre,The Broadway,"Ealing, W5 2ND",Great Britain,"Arcadia Centre, The Broadway, Ealing, W5 2ND, Great Britain",Retail,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
"The Tempest and
Ellenbank","Cliff Road, Seaford",East Sussex,Great Britain,"The Tempest and
Ellenbank, Cliff Road, Seaford, East Sussex, Great Britain",Development - Not Commenced,,,Begbies Traynor (Central) LLP,www.begbiestraynor.com
"The Crest, Hillcrest
Road",Newhaven,East Sussex BN9 9EA,Great Britain,"The Crest, Hillcrest
Road, Newhaven, East Sussex BN9 9EA, Great Britain",Residential,,Multiple,RSM Tenon Recovery,www.rsmtenon.com
Lochinvar Drive,,Edinburgh EH5 1GJ,Great Britain,"Lochinvar Drive, Edinburgh EH5 1GJ, Great Britain",Residential,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
Lower Granton Road,,Edinburgh EH5 1GL,Great Britain,"Lower Granton Road, Edinburgh EH5 1GL, Great Britain",Residential,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
Wood Street,Chelmsford,Essex,Great Britain,"Wood Street, Chelmsford, Essex, Great Britain",Development - Not Commenced,,,GVA,www.gva.co.uk
East Street,,"Farnham, GU9 7",Great Britain,"East Street, Farnham, GU9 7, Great Britain",Office,,Multiple,Capita Symonds,"www.capitasymonds.com/realest
ate"
Argyle Street,,Glasgow,Great Britain,"Argyle Street, Glasgow, Great Britain",Development - Not Commenced,,,KPMG LLP,www.kpmg.co.uk
York Street,,Glasgow,Great Britain,"York Street, Glasgow, Great Britain",Development - Not Commenced,,,KPMG LLP,www.kpmg.co.uk
Robertson Street,,Glasgow,Great Britain,"Robertson Street, Glasgow, Great Britain",Development - Not Commenced,,,KPMG LLP,www.kpmg.co.uk
Robertson Lane,,Glasgow,Great Britain,"Robertson Lane, Glasgow, Great Britain",Development - Not Commenced,,,KPMG LLP,www.kpmg.co.uk
Whiteshill,Stroud,"Gloucestershire GL6
6AE",Great Britain,"Whiteshill, Stroud, Gloucestershire GL6
6AE, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
West Blackhall Street,,Greenock,Great Britain,"West Blackhall Street, Greenock, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
"High
Street",Bangor,Gwynedd,Great Britain,"High
Street, Bangor, Gwynedd, Great Britain",Other,Car park,Multiple,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
"High
Street",Bangor,Gwynedd,Great Britain,"High
Street, Bangor, Gwynedd, Great Britain",Retail,,Multiple,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
The Menai Centre,Bangor,Gwynedd,Great Britain,"The Menai Centre, Bangor, Gwynedd, Great Britain",Retail,,Multiple,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
"Car park, The Menai
Centre",Bangor,Gwynedd,Great Britain,"Car park, The Menai
Centre, Bangor, Gwynedd, Great Britain",Other,Car park,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
High Town,,Hereford,Great Britain,"High Town, Hereford, Great Britain",Retail,,Multiple,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
Church Road,,Hove,Great Britain,"Church Road, Hove, Great Britain",Retail,,Single,GVA,www.gva.co.uk
The Mill,,Ipswich,Great Britain,"The Mill, Ipswich, Great Britain",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Sproughton Road,,Ipswich,Great Britain,"Sproughton Road, Ipswich, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
Regatta Quay,,Ipswich,Great Britain,"Regatta Quay, Ipswich, Great Britain",Development - Commenced,,,Grant Thornton,www.grant-thornton.co.uk
Heron Square,Binfield,Isle of Wight,Great Britain,"Heron Square, Binfield, Isle of Wight, Great Britain",Other,Holiday Home,Multiple,BDO LLP,www.bdo.co.uk
Cormorant Grove,Binfield,Isle of Wight,Great Britain,"Cormorant Grove, Binfield, Isle of Wight, Great Britain",Other,Holiday Home,Multiple,BDO LLP,www.bdo.co.uk
"Island Harbour, Mill
Lane",Binfield,Isle of Wight,Great Britain,"Island Harbour, Mill
Lane, Binfield, Isle of Wight, Great Britain",Other,Marina,Single,BDO LLP,www.bdo.co.uk
"Certain property at
Mill Lane",Binfield,Isle of Wight,Great Britain,"Certain property at
Mill Lane, Binfield, Isle of Wight, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.co.uk
"Certain property Mill
Lane",Binfield,Isle of Wight,Great Britain,"Certain property Mill
Lane, Binfield, Isle of Wight, Great Britain",Residential,,Multiple,BDO LLP,www.bdo.co.uk
Liberty House,"Yard, Highgate",Kendal,Great Britain,"Liberty House, Yard, Highgate, Kendal, Great Britain",Mixed Use,,Multiple,Edward Symmons LLP,www.edwardsymmons.com
Mount Pleasant Road,Tunbridge Wells,Kent,Great Britain,"Mount Pleasant Road, Tunbridge Wells, Kent, Great Britain",Development - Not Commenced,,,Savills,www.savills.com
Tufton Street,Ashford,"Kent, TN23 1QP",Great Britain,"Tufton Street, Ashford, Kent, TN23 1QP, Great Britain",Mixed Use,,Multiple,Allsop LLP,www.allsop.co.uk
"St Mary's Road,",,"Leamington Spa,
CV31 1",Great Britain,"St Mary's Road,, Leamington Spa,
CV31 1, Great Britain",Industrial,,Single,Capita Symonds,"www.capitasymonds.com/realest
ate"
Bywater Court,,Leeds,Great Britain,"Bywater Court, Leeds, Great Britain",Residential,,Multiple,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
East Street,Ellerby Road,Leeds,Great Britain,"East Street, Ellerby Road, Leeds, Great Britain",Development - Not Commenced,,,PwC,www.pwc.co.uk
Wellington Street,Leeds,Leeds LS1,Great Britain,"Wellington Street, Leeds, Leeds LS1, Great Britain",Office,,Single,GVA,www.gva.co.uk
Manor Mills,Ingram Road,Leeds LS11 9BN,Great Britain,"Manor Mills, Ingram Road, Leeds LS11 9BN, Great Britain",Mixed Use,,Multiple,KPMG,www.kpmg.com
20:20 House,Skinner Lane,"Leeds, West
Yorkshire LS7 1BB",Great Britain,"20:20 House, Skinner Lane, Leeds, West
Yorkshire LS7 1BB, Great Britain",Mixed Use,,Multiple,KPMG,www.kpmg.com
20:20 House,Skinner Lane,"Leeds, West
Yorkshire LS7 1DB",Great Britain,"20:20 House, Skinner Lane, Leeds, West
Yorkshire LS7 1DB, Great Britain",Office,,Single,KPMG,www.kpmg.com
Ashbourne Road,,Leek ST13 5AP,Great Britain,"Ashbourne Road, Leek ST13 5AP, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
St Georges Way,,"Leicester, LE1 1",Great Britain,"St Georges Way, Leicester, LE1 1, Great Britain",Mixed Use,,Multiple,Capita Symonds,"www.capitasymonds.com/realest
ate"
"International House,
Granby Street",Leicester,Leicestershire,Great Britain,"International House,
Granby Street, Leicester, Leicestershire, Great Britain",Mixed Use,,Multiple,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Granby Street,Leicester,Leicestershire,Great Britain,"Granby Street, Leicester, Leicestershire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Granby Street,Leicester,Leicestershire,Great Britain,"Granby Street, Leicester, Leicestershire, Great Britain",Retail,,Multiple,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Granby Street,Leicester,Leicestershire,Great Britain,"Granby Street, Leicester, Leicestershire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Main Street,Greetham,"Leicestershire LE15
7NL",Great Britain,"Main Street, Greetham, Leicestershire LE15
7NL, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
"Land at North Side of
South Downs Road",Malling Brooks,Lewes,Great Britain,"Land at North Side of
South Downs Road, Malling Brooks, Lewes, Great Britain",Development - Not Commenced,,,Begbies Traynor (Central) LLP,www.begbiestraynor.com
"Phoenix Industrial
Estate",,Lewes,Great Britain,"Phoenix Industrial
Estate, Lewes, Great Britain",Development - Not Commenced,,,Grant Thornton,www.grant-thornton.co.uk
Brook Street,,Liverpool,Great Britain,"Brook Street, Liverpool, Great Britain",Mixed Use,,Multiple,Grant Thornton UK LLP,www.grantthornton.co.uk
Tower Building,Union Street,Liverpool L3 1BH,Great Britain,"Tower Building, Union Street, Liverpool L3 1BH, Great Britain",Residential,,Single,GVA,www.gva.co.uk
Sefton Street,Toxeth,Liverpool L8 5SY,Great Britain,"Sefton Street, Toxeth, Liverpool L8 5SY, Great Britain",Development - Not Commenced,,,MCR,www.mcr.uk.com
"Clapham Common
South Side",Clapham Common,London,Great Britain,"Clapham Common
South Side, Clapham Common, London, Great Britain",Residential,,Single,GVA,www.gva.co.uk
Elms Road,Clapham Common,London,Great Britain,"Elms Road, Clapham Common, London, Great Britain",Residential,,Single,GVA,www.gva.co.uk
Hardwicks Way,Wandsworth,London,Great Britain,"Hardwicks Way, Wandsworth, London, Great Britain",Mixed Use,,Multiple,Grant Thornton,www.grant-thornton.co.uk
"Leicester Square,
Orange Street and St
Martin's Street",,London,Great Britain,"Leicester Square,
Orange Street and St
Martin's Street, London, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
Haling Court,South Croydon,London CR2 6ND,Great Britain,"Haling Court, South Croydon, London CR2 6ND, Great Britain",Residential,,Multiple,BTWShiells Ltd,www.btwshiells.co.uk
"Clifton Street and
Paul Street",,London EC2,Great Britain,"Clifton Street and
Paul Street, London EC2, Great Britain",Development - Not Commenced,,,Grant Thornton UK LLP,www.grant-thornton.co.uk
Aldgate,,London EC3N,Great Britain,"Aldgate, London EC3N, Great Britain",Office,,Multiple,Grant Thornton UK LLP,www.grantthornton.co.uk
Minories,,London EC3N,Great Britain,"Minories, London EC3N, Great Britain",Development - Not Commenced,,,Grant Thornton UK LLP,www.grantthornton.co.uk
King William Street,London,London EC4,Great Britain,"King William Street, London, London EC4, Great Britain",Office,,Single,GVA,www.gva.co.uk
Alexandra Park Road,Muswell Hill,London N10 2AE,Great Britain,"Alexandra Park Road, Muswell Hill, London N10 2AE, Great Britain",Other,Off-Licence,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Factory Site',Lawrence Road,London N15,Great Britain,"Factory Site', Lawrence Road, London N15, Great Britain",Development - Not Commenced,,,SPW UK LLP,www.spwca.com
Warehouse Site',Lawrence Road,London N15,Great Britain,"Warehouse Site', Lawrence Road, London N15, Great Britain",Development - Not Commenced,,,SPW UK LLP,www.spwca.com
Gloucester Avenue,,London NW1 7AE,Great Britain,"Gloucester Avenue, London NW1 7AE, Great Britain",Residential,,Multiple,BDO LLP,www.bdo.co.uk
College Crescent,,London NW3 5LB,Great Britain,"College Crescent, London NW3 5LB, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.co.uk
West Heath Road,,London NW3 7UJ,Great Britain,"West Heath Road, London NW3 7UJ, Great Britain",Residential,,Multiple,BDO LLP,www.bdo.co.uk
Sumatra Road,,London NW6 1PF,Great Britain,"Sumatra Road, London NW6 1PF, Great Britain",Residential,,Multiple,PricewaterhouseCoopers LLP,www.pwc.co.uk
Cromwell Road,,London SW7 2JB,Great Britain,"Cromwell Road, London SW7 2JB, Great Britain",Residential,,Multiple,BDO LLP,www.bdo.co.uk
Shirland Road,,London W9 2EL,Great Britain,"Shirland Road, London W9 2EL, Great Britain",Residential,,Multiple,PricewaterhouseCoopers LLP,www.pwc.co.uk
Kean Street,,London WC2B 4AZ,Great Britain,"Kean Street, London WC2B 4AZ, Great Britain",Office,,Multiple,BDO LLP,www.bdo.co.uk
Leicester Square,,London WC2H 7LL,Great Britain,"Leicester Square, London WC2H 7LL, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
Hotel St Gregory,Shoreditch High Street,"London, E1 6JQ",Great Britain,"Hotel St Gregory, Shoreditch High Street, London, E1 6JQ, Great Britain",Hotel,,Single,Grant Thornton UK LLP,www.grant-thornton.co.uk
Frances Wharf,Burdett Road,"London, E14",Great Britain,"Frances Wharf, Burdett Road, London, E14, Great Britain",Residential,,Multiple,BDO LLP,www.bdo.uk.com
The Forge,Westferry Road,"London, E14",Great Britain,"The Forge, Westferry Road, London, E14, Great Britain",Residential,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
Island Point,Westferry Road,"London, E14",Great Britain,"Island Point, Westferry Road, London, E14, Great Britain",Development - Not Commenced,,,Grant Thornton UK LLP,www.grant-thornton.co.uk
City Pride,Westferry Road,"London, E14 8JH",Great Britain,"City Pride, Westferry Road, London, E14 8JH, Great Britain",Development - Not Commenced,,,Grant Thornton UK LLP,www.grant-thornton.co.uk
Riverside Works,Wick Lane,"London, E3",Great Britain,"Riverside Works, Wick Lane, London, E3, Great Britain",Residential,,Multiple,BDO LLP,www.bdo.uk.com
St John Street,,"London, EC1V 4DG",Great Britain,"St John Street, London, EC1V 4DG, Great Britain",Mixed Use,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
Blackfriars Road,,"London, SE1",Great Britain,"Blackfriars Road, London, SE1, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.uk.com
Cobham Close,Clapham,"London, SW11",Great Britain,"Cobham Close, Clapham, London, SW11, Great Britain",Development - Commenced,,,Capita Symonds,"www.capitasymonds.com/realest
ate"
New Bond Street,,"London, W1S",Great Britain,"New Bond Street, London, W1S, Great Britain",Retail,,Multiple,BDO LLP,www.bdo.uk.com
"Wrights Lane,
Consort Court",Kensington,"London, W8",Great Britain,"Wrights Lane,
Consort Court, Kensington, London, W8, Great Britain",Residential,,Single,BDO LLP,www.bdo.uk.com
"Taplow Paper Mill,
Taplow Lane",Taplow,Maidenhead,Great Britain,"Taplow Paper Mill,
Taplow Lane, Taplow, Maidenhead, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.co.uk
Hall Moss Road,Blackley,Manchester,Great Britain,"Hall Moss Road, Blackley, Manchester, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.co.uk
"Lincoln Gate, Red
Bank",,Manchester M4 4AD,Great Britain,"Lincoln Gate, Red
Bank, Manchester M4 4AD, Great Britain",Residential,,Multiple,KPMG,www.kpmg.ie
Westgate,,Mansfield,Great Britain,"Westgate, Mansfield, Great Britain",Retail,,Multiple,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
St Peter's Road,,Netherton DY2 8HS,Great Britain,"St Peter's Road, Netherton DY2 8HS, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Edward Benefer Way,Kings Lynn,"Norfolk, PO30 2ND",Great Britain,"Edward Benefer Way, Kings Lynn, Norfolk, PO30 2ND, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
Queen Street,,Nuneaton,Great Britain,"Queen Street, Nuneaton, Great Britain",Retail,,Multiple,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
Paradise Place,,Plymouth PL1 5QU,Great Britain,"Paradise Place, Plymouth PL1 5QU, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Benbow Street,,Plymouth PL2 1BX,Great Britain,"Benbow Street, Plymouth PL2 1BX, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Bridge Road,,Prescot L34 5SY,Great Britain,"Bridge Road, Prescot L34 5SY, Great Britain",Residential,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
Woodhatch Road,,Reigate RH2 7LJ,Great Britain,"Woodhatch Road, Reigate RH2 7LJ, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Kirby Malzeard,,Ripon HG4 3RY,Great Britain,"Kirby Malzeard, Ripon HG4 3RY, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Turpin Avenue,,Romford,Great Britain,"Turpin Avenue, Romford, Great Britain",Retail,,Single,GVA,www.gva.co.uk
"Angel Way Retail
Park",St. Edwards Way,Romford RM11JN,Great Britain,"Angel Way Retail
Park, St. Edwards Way, Romford RM11JN, Great Britain",Development - Not Commenced,,,RSM Tenon Recovery,www.rsmtenon.com
Regent Street,,"Rugby, CV21 2PY",Great Britain,"Regent Street, Rugby, CV21 2PY, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
"Thaxted Road,",Saffron Walden,"Saffron Walden, SB10",Great Britain,"Thaxted Road,, Saffron Walden, Saffron Walden, SB10, Great Britain",Mixed Use,,Multiple,Capita Symonds,"www.capitasymonds.com/realest
ate"
Premises at,Chapel Street,Salford M3,Great Britain,"Premises at, Chapel Street, Salford M3, Great Britain",Other,6 car parking spaces,Multiple,GVA,www.gva.co.uk
Premises at,Sillivan Way,Salford M3,Great Britain,"Premises at, Sillivan Way, Salford M3, Great Britain",Development - Not Commenced,,,GVA,www.gva.co.uk
Land at Greengate,,Salford M3,Great Britain,"Land at Greengate, Salford M3, Great Britain",Development - Not Commenced,,,GVA,www.gva.co.uk
"The
Gateway, Broughton
Road",,Salford M6 6LS,Great Britain,"The
Gateway, Broughton
Road, Salford M6 6LS, Great Britain",Residential,,Multiple,KPMG,www.kpmg.ie
"The
Maypole, Broughton
Road",,Salford M6 6LS,Great Britain,"The
Maypole, Broughton
Road, Salford M6 6LS, Great Britain",Residential,,Multiple,KPMG,www.kpmg.ie
"Land on the north
east side of Old
Shoreham Road and
Old Shoreham Road",Shoreham by Sea,Sussex,Great Britain,"Old Shoreham Road and Old Shoreham Road, Shoreham by Sea, Sussex, Great Britain",Development - Not Commenced,,,Begbies Traynor (Central) LLP,www.begbiestraynor.com
London Road,North Cheam,"Sutton, SM3 8HW",Great Britain,"London Road, North Cheam, Sutton, SM3 8HW, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
Fleet Street,Rock Road,Torquay,Great Britain,"Fleet Street, Rock Road, Torquay, Great Britain",Retail,,Multiple,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
Watling Street West,,Towcester,Great Britain,"Watling Street West, Towcester, Great Britain",Development - Commenced,,,Allsop LLP,www.allsop.co.uk
Land at,Forest Hall,Tyne & Wear,Great Britain,"Land at, Forest Hall, Tyne & Wear, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.uk.com
Borough Road,North Shields,"Tyne & Wear NE29
6LU",Great Britain,"Borough Road, North Shields, Tyne & Wear NE29
6LU, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Perth Avenue,Jarrow,"Tyne & Wear NE32
4HT",Great Britain,"Perth Avenue, Jarrow, Tyne & Wear NE32
4HT, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Westerton Road,Tingley,Wakefield WF3 1PZ,Great Britain,"Westerton Road, Tingley, Wakefield WF3 1PZ, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Dock Road,,Wallasey,Great Britain,"Dock Road, Wallasey, Great Britain",Industrial,,Multiple,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
Orford Road,,Warrington WA2 7AB,Great Britain,"Orford Road, Warrington WA2 7AB, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Chapel Street,Nuneaton,"Warwickshire CV11
5TZ",Great Britain,"Chapel Street, Nuneaton, Warwickshire CV11
5TZ, Great Britain",Other,Shopping Centre,Multiple,BTWShiells Ltd,www.btwshiells.co.uk
Upton Road,,"Watford, WD18 0",Great Britain,"Upton Road, Watford, WD18 0, Great Britain",Office,,Single,Capita Symonds,"www.capitasymonds.com/realest
ate"
Upton Road,,"Watford, WD18 0",Great Britain,"Upton Road, Watford, WD18 0, Great Britain",Residential,,Single,Capita Symonds,"www.capitasymonds.com/realest
ate"
Glastonbury Road,,"Wells, BA5 1TP",Great Britain,"Glastonbury Road, Wells, BA5 1TP, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
Horseley Road,Tipton,"West Midlands DY4
7NB",Great Britain,"Horseley Road, Tipton, West Midlands DY4
7NB, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Bishopric,Horsham,"West Sussex, RH12",Great Britain,"Bishopric, Horsham, West Sussex, RH12, Great Britain",Office,,Multiple,BDO LLP,www.bdo.uk.com
Stanley Road,Wakefield,"West Yorkshire WF1
4LH",Great Britain,"Stanley Road, Wakefield, West Yorkshire WF1
4LH, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
"Trencherfield Mill,
Heritage Way",,Wigan WN3 4BE,Great Britain,"Trencherfield Mill,
Heritage Way, Wigan WN3 4BE, Great Britain",Residential,,Multiple,KPMG,www.kpmg.ie
Warrington Road,Lower Ince,Wigan WN3 4LU,Great Britain,"Warrington Road, Lower Ince, Wigan WN3 4LU, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Warrington Road,Ince Green,Wigan WN3 4RT,Great Britain,"Warrington Road, Ince Green, Wigan WN3 4RT, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
St Ann's Road,,Willenhall WV13 1DY,Great Britain,"St Ann's Road, Willenhall WV13 1DY, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
"Certain Units at
Sugarmill Square,
Eccles New Road",,"Salford, M5 5EB",Great Britain,"Certain Units at
Sugarmill Square,
Eccles New Road, , Salford, M5 5EB, Great Britain",Residential,,Single,KPMG,www.kpmg.ie
Premises on,Cobden Street,"Salford, M6 6LY",Great Britain,"Premises on, Cobden Street, Salford, M6 6LY, Great Britain",Industrial,,Single,GVA,www.gva.co.uk
Premises on,Sovereign Street,"Salford, M6 6LY",Great Britain,"Premises on, Sovereign Street, Salford, M6 6LY, Great Britain",Office,,Single,GVA,www.gva.co.uk
Garthorpe,,"Scunthorpe DN17
4AD",Great Britain,"Garthorpe, , Scunthorpe DN17
4AD, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Stockton Road,Cold Hesleden,Seaham SR7 8RN,Great Britain,"Stockton Road, Cold Hesleden, Seaham SR7 8RN, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
The Square,Calderbridge,Seascale CA20 1DH,Great Britain,"The Square, Calderbridge, Seascale CA20 1DH, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Meadow Street,Weston-Super-Mare,Somerset BS23 1QQ,Great Britain,"Meadow Street, Weston-Super-Mare, Somerset BS23 1QQ, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
"Old Coach Road
Cross",Axbridge,Somerset BS26 3EE,Great Britain,"Old Coach Road
Cross, Axbridge, Somerset BS26 3EE, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
The Green,"Hambridge, Langport",Somerset TA10 0AT,Great Britain,"The Green, Hambridge, Langport, Somerset TA10 0AT, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
West Huntspill,Highbridge,Somerset TA9 3DR,Great Britain,"West Huntspill, Highbridge, Somerset TA9 3DR, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Swadlincote,,South Derbyshire,Great Britain,"Swadlincote, South Derbyshire, Great Britain",Industrial,,Single,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Pontlottyn,Rhymney,South Wales,Great Britain,"Pontlottyn, Rhymney, South Wales, Great Britain",Development - Not Commenced,,,BDO LLP,www.bdo.co.uk
High Road,Whaplode,Spalding PE12 6TJ,Great Britain,"High Road, Whaplode, Spalding PE12 6TJ, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Hall Street,,St Helens WA10 1EN,Great Britain,"Hall Street, St Helens WA10 1EN, Great Britain",Residential,,Multiple,Grant Thornton UK LLP,www.grant-thornton.co.uk
Bohemia Road,,St Leonards-on-sea,Great Britain,"Bohemia Road, St Leonards-on-sea, Great Britain",Mixed Use,,Single,GVA,www.gva.co.uk
Huddersfield Road,Millbrook,Stalybridge SK15 3EP,Great Britain,"Huddersfield Road, Millbrook, Stalybridge SK15 3EP, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Burgmuir Road,,Stirling,Great Britain,"Burgmuir Road, Stirling, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Burgmuir Road,,Stirling,Great Britain,"Burgmuir Road, Stirling, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Burgmuir Road,,Stirling,Great Britain,"Burgmuir Road, Stirling, Great Britain",Development - Not Commenced,,,KPMG LLP,www.kpmg.co.uk
Murray Place,,Stirling,Great Britain,"Murray Place, Stirling, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Murray Place,,Stirling,Great Britain,"Murray Place, Stirling, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Liverpool Street,Kidsgrove,"Stoke on Trent ST7
4EY",Great Britain,"Liverpool Street, Kidsgrove, Stoke on Trent ST7
4EY, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Station Road,Elmswell,"Suffolk, IP30 9HA",Great Britain,"Station Road, Elmswell, Suffolk, IP30 9HA, Great Britain",Development - Not Commenced,,,Allsop LLP,www.allsop.co.uk
